country;p2010;p2011;p2012;p2013;p2014;p2015;p2016;p2017;population_avg
Myanmar;50.600.818;50.990.615;51.413.698;51.852.451;52.280.807;52.680.726;53.045.226;53.382.581;52.030.865
Korea, Rep.;49.554.112;49.936.638;50.199.853;50.428.893;50.746.659;51.014.947;51.217.803;51.361.911;50.557.602
Spain;46.576.897;46.742.697;46.773.055;46.620.045;46.480.882;46.444.832;46.484.062;46.593.236;46.589.463
Ukraine;45.870.741;45.706.086;45.593.342;45.489.648;45.272.156;45.154.036;45.004.674;44.831.135;45.365.227
Colombia;45.222.699;45.662.747;46.075.721;46.495.492;46.967.706;47.520.667;48.175.048;48.909.844;46.878.741
Tanzania;44.346.525;45.673.338;47.052.481;48.482.266;49.959.822;51.482.633;53.050.790;54.663.906;49.338.970
Kenya;42.030.676;43.178.257;44.343.410;45.519.889;46.699.981;47.878.336;49.051.686;50.221.473;46.115.464
Argentina;40.788.453;41.261.490;41.733.271;42.202.935;42.669.500;43.131.966;43.590.368;44.044.811;42.427.849
Poland;38.042.794;38.063.255;38.063.164;38.040.196;38.011.735;37.986.412;37.970.087;37.974.826;38.019.059
Algeria;35.977.455;36.661.444;37.383.887;38.140.132;38.923.687;39.728.025;40.551.404;41.389.198;38.594.404
Small states;35.238.657;35.912.140;36.568.688;37.214.029;37.862.988;38.526.747;39.200.571;39.885.872;37.551.212
Sudan;34.545.013;35.349.681;36.193.783;37.072.550;37.977.655;38.902.950;39.847.440;40.813.396;37.587.809
Canada;34.004.889;34.339.328;34.714.222;35.082.954;35.437.435;35.702.908;36.109.487;36.543.321;35.241.818
Uganda;32.428.167;33.476.919;34.559.168;35.695.246;36.912.148;38.225.453;39.647.506;41.162.465;36.513.384
Morocco;32.343.389;32.781.850;33.241.898;33.715.693;34.192.347;34.663.603;35.126.296;35.581.294;33.955.796
Iraq;29.741.976;30.725.300;31.890.011;33.157.050;34.411.951;35.572.261;36.610.632;37.552.781;33.707.745
Afghanistan;29.185.507;30.117.413;31.161.376;32.269.589;33.370.794;34.413.603;35.383.128;36.296.400;32.774.726
Peru;29.027.674;29.264.318;29.506.788;29.773.987;30.090.359;30.470.734;30.926.032;31.444.297;30.063.024
Uzbekistan;28.562.400;29.339.400;29.774.500;30.243.200;30.757.700;31.298.900;31.847.900;32.388.600;30.526.575
Venezuela, RB;28.439.940;28.888.369;29.362.449;29.783.571;30.045.134;30.081.829;29.846.179;29.390.409;29.479.735
Malaysia;28.208.035;28.650.955;29.068.159;29.468.872;29.866.559;30.270.962;30.684.804;31.105.028;29.665.422
Saudi Arabia;27.421.461;28.267.685;29.155.187;30.052.518;30.916.994;31.717.667;32.442.572;33.099.147;30.384.154
Nepal;27.013.212;27.041.437;26.989.862;26.917.906;26.906.926;27.015.031;27.261.131;27.627.124;27.096.579
Other small states;26.050.942;26.647.962;27.227.319;27.794.595;28.364.410;28.948.869;29.542.879;30.148.800;28.090.722
Ghana;24.779.619;25.387.710;25.996.449;26.607.642;27.224.472;27.849.205;28.481.946;29.121.471;26.931.064
Korea, Dem. People’s Rep.;24.548.836;24.673.385;24.800.612;24.929.452;25.057.752;25.183.833;25.307.744;25.429.985;24.991.450
Mozambique;23.531.574;24.187.487;24.862.648;25.560.725;26.286.163;27.042.002;27.829.942;28.649.007;25.993.694
Angola;23.356.246;24.220.661;25.107.931;26.015.780;26.941.779;27.884.381;28.842.484;29.816.748;26.523.251
Yemen, Rep.;23.154.855;23.807.588;24.473.178;25.147.109;25.823.485;26.497.889;27.168.210;27.834.821;25.488.392
Australia;22.031.750;22.340.024;22.733.465;23.128.129;23.475.686;23.815.995;24.190.907;24.601.860;23.289.727
Syrian Arab Republic;21.362.529;21.082.966;20.442.541;19.584.274;18.715.672;17.997.408;17.453.933;17.068.002;19.213.416
Madagascar;21.151.640;21.743.967;22.346.641;22.961.253;23.589.887;24.234.088;24.894.380;25.570.540;23.311.550
Cote d'Ivoire;20.532.950;21.028.655;21.547.188;22.087.505;22.647.683;23.226.143;23.822.714;24.437.469;22.416.288
Cameroon;20.341.241;20.906.388;21.485.266;22.077.298;22.681.858;23.298.368;23.926.539;24.566.045;22.410.375
Sri Lanka;20.261.737;20.398.670;20.425.000;20.585.000;20.778.000;20.970.000;21.203.000;21.444.000;20.758.176
Romania;20.246.871;20.147.528;20.058.035;19.983.693;19.908.979;19.815.616;19.702.267;19.587.290;19.931.285
Chile;17.062.536;17.233.576;17.400.347;17.571.507;17.758.959;17.969.353;18.209.068;18.470.439;17.709.473
Netherlands;16.615.394;16.693.074;16.754.962;16.804.432;16.865.008;16.939.923;17.030.314;17.131.296;16.854.300
Niger;16.464.025;17.114.761;17.795.191;18.504.255;19.240.157;20.001.663;20.788.838;21.602.472;18.938.920
Kazakhstan;16.321.872;16.557.201;16.792.089;17.035.550;17.288.285;17.542.806;17.794.055;18.037.776;17.171.204
Burkina Faso;15.605.217;16.081.911;16.571.246;17.072.775;17.586.017;18.110.624;18.646.378;19.193.284;17.358.432
Mali;15.049.353;15.514.591;15.979.499;16.449.864;16.934.220;17.438.778;17.965.429;18.512.394;16.730.516
Ecuador;15.011.117;15.243.883;15.474.102;15.707.474;15.951.838;16.212.020;16.491.115;16.785.361;15.859.614
Malawi;14.539.612;14.962.112;15.396.005;15.839.269;16.289.540;16.745.303;17.205.289;17.670.260;16.080.924
Cambodia;14.312.212;14.541.423;14.780.454;15.026.332;15.274.503;15.521.436;15.766.293;16.009.414;15.154.008
Guatemala;14.259.687;14.521.515;14.781.942;15.043.981;15.306.316;15.567.419;15.827.690;16.087.418;15.174.496
Zambia;13.605.984;14.023.193;14.465.121;14.926.504;15.399.753;15.879.361;16.363.507;16.853.688;15.189.639
Zimbabwe;12.697.723;12.894.316;13.115.131;13.350.356;13.586.681;13.814.629;14.030.390;14.236.745;13.465.746
Senegal;12.678.148;13.033.809;13.401.991;13.782.420;14.174.731;14.578.459;14.993.528;15.419.381;14.007.808
Somalia;12.043.883;12.376.302;12.715.510;13.063.706;13.423.576;13.797.201;14.185.613;14.589.119;13.274.364
Chad;11.952.136;12.360.989;12.784.750;13.220.424;13.663.559;14.110.975;14.561.666;15.016.773;13.458.909
Cuba;11.225.832;11.236.670;11.257.101;11.282.720;11.306.902;11.324.781;11.335.109;11.339.259;11.288.547
Greece;11.121.341;11.104.899;11.045.011;10.965.211;10.892.413;10.820.883;10.775.971;10.754.679;10.935.051
Belgium;10.895.586;11.038.264;11.106.932;11.159.407;11.209.057;11.274.196;11.331.422;11.375.158;11.173.753
Tunisia;10.635.244;10.741.880;10.847.002;10.952.951;11.063.201;11.179.949;11.303.946;11.433.443;11.019.702
Portugal;10.573.100;10.557.560;10.514.844;10.457.295;10.401.062;10.358.076;10.325.452;10.300.300;10.435.961
Czech Republic;10.474.410;10.496.088;10.510.785;10.514.272;10.525.347;10.546.059;10.566.332;10.594.438;10.528.466
Guinea;10.192.176;10.420.471;10.652.029;10.892.810;11.150.977;11.432.088;11.738.441;12.067.539;11.068.316
Bolivia;10.048.590;10.212.954;10.377.676;10.542.376;10.706.517;10.869.730;11.031.813;11.192.854;10.622.814
Rwanda;10.039.338;10.293.331;10.549.678;10.811.543;11.083.635;11.369.071;11.668.818;11.980.937;10.974.544
Hungary;10.000.023;9.971.727;9.920.362;9.893.082;9.866.468;9.843.028;9.814.023;9.787.966;9.887.085
Haiti;9.949.322;10.100.320;10.250.930;10.400.673;10.549.008;10.695.542;10.839.970;10.982.366;10.471.016
Dominican Republic;9.695.121;9.813.210;9.930.911;10.048.224;10.165.178;10.281.680;10.397.743;10.513.131;10.105.650
South Sudan;9.508.364;9.830.698;10.113.647;10.355.036;10.554.883;10.715.658;10.832.512;10.910.759;10.352.695
Belarus;9.490.583;9.473.172;9.464.495;9.465.997;9.474.511;9.489.616;9.501.534;9.498.264;9.482.272
Sweden;9.378.126;9.449.213;9.519.374;9.600.379;9.696.110;9.799.186;9.923.085;10.057.698;9.677.896
Benin;9.199.259;9.460.830;9.729.248;10.004.588;10.286.842;10.575.952;10.872.067;11.175.204;10.162.999
Azerbaijan;9.054.332;9.173.082;9.295.784;9.416.801;9.535.079;9.649.341;9.757.812;9.854.033;9.467.033
Burundi;8.675.602;8.958.406;9.245.988;9.540.289;9.844.297;10.160.030;10.487.998;10.827.024;9.717.454
United Arab Emirates;8.549.988;8.946.777;9.141.596;9.197.910;9.214.175;9.262.900;9.360.980;9.487.203;9.145.191
Austria;8.363.404;8.391.643;8.429.991;8.479.823;8.546.356;8.642.699;8.736.668;8.797.566;8.548.519
Honduras;8.317.470;8.480.671;8.640.691;8.798.521;8.955.589;9.112.916;9.270.795;9.429.013;8.875.708
Switzerland;7.824.909;7.912.398;7.996.861;8.089.346;8.188.649;8.282.396;8.373.338;8.451.840;8.139.967
Israel;7.623.600;7.765.800;7.910.500;8.059.500;8.215.700;8.380.100;8.546.000;8.713.300;8.151.813
Tajikistan;7.527.394;7.697.510;7.874.835;8.059.769;8.252.833;8.454.028;8.663.579;8.880.268;8.176.277
